SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS003_Aligned--06_immune_output,2,0,0,30,2,3,0,2,0,0,108,2,5,0,0.6931471805600001,0,0,2.95476887315,0.6931471805600001,1.05492016799,0
PIVUS004_Aligned--06_immune_output,5,1,0,28,4,0,0,12,4,0,89,5,0,0,1.4241299173500002,-0.0,0,2.91302255413,1.33217904021,0.0,0
PIVUS005_Aligned--06_immune_output,1,1,0,27,5,1,0,1,5,0,92,9,1,0,-0.0,-0.0,0,2.8435573849299995,1.5229550675299999,-0.0,0
PIVUS006_Aligned--06_immune_output,4,1,0,37,9,1,0,7,2,0,118,9,1,0,1.2770342594700002,-0.0,0,3.21930777663,2.19722457734,-0.0,0
PIVUS007_Aligned--06_immune_output,2,0,0,38,1,0,0,3,0,0,120,1,0,0,0.636514168295,0,0,3.27162593698,-0.0,0.0,0
PIVUS008_Aligned--06_immune_output,1,1,0,42,2,2,0,2,4,0,290,48,2,0,-0.0,-0.0,0,3.21572869696,0.101264817567,0.6931471805600001,0
PIVUS009_Aligned--06_immune_output,2,0,2,33,5,2,0,3,0,2,167,28,3,0,0.636514168295,0,0.6931471805600001,3.00925777051,0.9502438880490001,0.636514168295,0
PIVUS010_Aligned--06_immune_output,0,1,0,32,3,2,0,0,84,0,124,28,2,0,0.0,-0.0,0,3.0274265413,0.7059182060870001,0.6931471805600001,0
PIVUS011_Aligned--06_immune_output,2,1,0,30,2,1,0,6,1,0,120,2,2,0,0.45056120886600004,-0.0,0,2.97526440185,0.6931471805600001,-0.0,0
PIVUS012_Aligned--06_immune_output,2,0,0,43,6,2,0,2,0,0,220,12,3,0,0.6931471805600001,0,0,3.36345774191,1.4735023850799998,0.636514168295,0
PIVUS013_Aligned--06_immune_output,2,0,0,35,4,1,0,4,0,0,144,4,1,0,0.562335144619,0,0,3.1402099076599996,1.3862943611200003,-0.0,0
PIVUS014_Aligned--06_immune_output,2,0,0,32,5,1,0,3,0,0,136,10,1,0,0.636514168295,0,0,2.90580145006,1.4184836619499999,-0.0,0
PIVUS017_Aligned--06_immune_output,2,1,0,32,3,2,0,2,1,0,121,5,2,0,0.6931471805600001,-0.0,0,3.0235048724,0.950270539233,0.6931471805600001,0
PIVUS018_Aligned--06_immune_output,3,1,2,32,5,2,0,6,1,2,110,6,2,0,1.09861228867,-0.0,0.6931471805600001,2.95592054411,1.56071040904,0.6931471805600001,0
PIVUS019_Aligned--06_immune_output,3,1,0,30,4,1,0,7,2,0,96,4,1,0,0.955699891113,-0.0,0,3.01760474055,1.3862943611200003,-0.0,0
PIVUS020_Aligned--06_immune_output,2,0,0,31,7,2,0,3,0,0,112,11,4,0,0.636514168295,0,0,2.9583264536900002,1.79865220625,0.562335144619,0
PIVUS021_Aligned--06_immune_output,2,0,1,36,2,1,0,2,0,1,109,2,1,0,0.6931471805600001,0,-0.0,3.2697347526200002,0.6931471805600001,-0.0,0
PIVUS022_Aligned--06_immune_output,1,0,1,21,3,1,0,1,0,1,74,3,1,0,-0.0,0,-0.0,2.6600727109099997,1.09861228867,-0.0,0
PIVUS023_Aligned--06_immune_output,6,3,0,34,4,0,0,9,3,0,108,15,0,0,1.6769877743200001,1.09861228867,0,3.17362851465,0.720124881272,0.0,0
PIVUS024_Aligned--06_immune_output,2,0,0,32,2,2,0,5,0,0,126,2,4,0,0.500402423538,0,0,3.06114316212,0.6931471805600001,0.6931471805600001,0
PIVUS027_Aligned--06_immune_output,2,1,0,33,5,2,0,5,1,0,107,11,2,0,0.6730116670090001,-0.0,0,3.1315852829,1.46813993902,0.6931471805600001,0
PIVUS028_Aligned--06_immune_output,2,1,1,31,2,1,0,2,5,1,124,4,1,0,0.6931471805600001,-0.0,-0.0,3.1100791760699997,0.562335144619,-0.0,0
PIVUS029_Aligned--06_immune_output,2,0,0,34,2,4,0,2,0,0,103,3,4,0,0.6931471805600001,0,0,3.1394839749699996,0.636514168295,1.3862943611200003,0
PIVUS030_Aligned--06_immune_output,6,1,0,38,4,2,0,26,41,0,161,8,4,0,1.3571945432299999,-0.0,0,3.23985649832,1.32088834315,0.562335144619,0
PIVUS031_Aligned--06_immune_output,2,1,0,33,3,0,0,4,1,0,91,8,0,0,0.562335144619,-0.0,0,3.19911274832,0.900256051269,0.0,0
PIVUS032_Aligned--06_immune_output,0,0,2,26,6,0,0,0,0,3,61,13,0,0,0.0,0,0.636514168295,3.02126563842,1.58577083521,0.0,0
PIVUS033_Aligned--06_immune_output,2,0,0,30,2,3,0,5,0,0,95,3,5,0,0.500402423538,0,0,3.0762366335,0.636514168295,1.05492016799,0
PIVUS034_Aligned--06_immune_output,3,0,0,25,3,0,0,3,0,0,43,5,0,0,1.09861228867,0,0,2.9443981465299998,1.05492016799,0.0,0
PIVUS035_Aligned--06_immune_output,4,0,0,26,5,0,0,5,0,0,58,11,0,0,1.33217904021,0,0,3.00106072658,1.29454516584,0.0,0
PIVUS036_Aligned--06_immune_output,2,1,1,16,0,1,0,4,4,1,32,0,1,0,0.6931471805600001,-0.0,-0.0,2.46898998789,0.0,-0.0,0
PIVUS037_Aligned--06_immune_output,1,0,0,27,3,2,0,1,0,0,59,3,5,0,-0.0,0,0,3.0785177769200005,1.09861228867,0.6730116670090001,0
PIVUS038_Aligned--06_immune_output,2,0,0,34,3,1,0,2,0,0,96,4,1,0,0.6931471805600001,0,0,3.26522668069,1.0397207708399998,-0.0,0
PIVUS039_Aligned--06_immune_output,4,0,2,25,7,3,0,7,0,2,57,17,4,0,1.2770342594700002,0,0.6931471805600001,3.02290502917,1.50688334886,1.0397207708399998,0
PIVUS040_Aligned--06_immune_output,3,1,0,20,2,0,0,5,2,0,34,22,0,0,1.05492016799,-0.0,0,2.86859111732,0.184907399168,0.0,0
PIVUS041_Aligned--06_immune_output,3,0,0,33,7,2,0,4,0,0,88,23,3,0,1.0397207708399998,0,0,3.19752066686,1.7104977555,0.636514168295,0
PIVUS042_Aligned--06_immune_output,5,0,0,26,3,0,0,11,0,0,67,9,0,0,1.29454516584,0,0,2.9566651748000004,0.6837389058490001,0.0,0
PIVUS043_Aligned--06_immune_output,1,0,0,25,2,1,0,1,0,0,79,3,1,0,-0.0,0,0,2.92723210741,0.636514168295,-0.0,0
PIVUS044_Aligned--06_immune_output,0,0,1,21,2,2,0,0,0,1,66,4,5,0,0.0,0,-0.0,2.68004751977,0.6931471805600001,0.500402423538,0
PIVUS045_Aligned--06_immune_output,2,1,0,24,4,0,0,2,1,0,58,5,0,0,0.6931471805600001,-0.0,0,3.01732566896,1.33217904021,0.0,0
