SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS003_Aligned--06_immune_output,114,19,21,190,90,7,0,171,195,39,207,204,10,0,4.60042893005,1.6583514960699999,2.83304591833,5.16790620477,3.8557794422500002,1.88669678466,0
PIVUS004_Aligned--06_immune_output,101,13,12,189,96,1,0,173,255,52,203,231,1,0,4.38848968761,1.14114088534,2.03327825426,5.21244431725,3.9283984405300005,-0.0,0
PIVUS005_Aligned--06_immune_output,95,14,16,206,76,1,0,120,176,47,226,203,1,0,4.45377350554,1.1693565839,2.29046024955,5.28327073339,3.6767508504400004,-0.0,0
PIVUS006_Aligned--06_immune_output,153,22,14,246,111,1,0,219,199,52,269,267,1,0,4.89320787665,1.62794589169,2.2826981203,5.465191643180001,3.9696460937999998,-0.0,0
PIVUS007_Aligned--06_immune_output,71,7,10,243,63,1,0,146,118,35,273,209,2,0,4.06133535933,1.14990106271,1.85767665023,5.40450066873,3.4508720878800005,-0.0,0
PIVUS008_Aligned--06_immune_output,16,5,3,448,68,2,2,31,48,10,520,384,2,2,2.54241427907,0.871506361904,0.897945724857,5.96412450705,2.95490884897,0.6931471805600001,0.6931471805600001
PIVUS009_Aligned--06_immune_output,49,10,9,321,96,3,2,65,56,21,350,264,3,4,3.79571803256,1.31550491203,1.8313535499200002,5.732603801690001,3.96268328801,1.09861228867,0.562335144619
PIVUS010_Aligned--06_immune_output,86,14,12,263,94,3,1,127,140,43,280,265,4,1,4.3003190272600005,1.49670960685,1.71727329982,5.543146757760001,3.8295562509900005,1.0397207708399998,-0.0
PIVUS011_Aligned--06_immune_output,139,23,14,249,84,3,0,331,313,99,272,171,3,0,4.48650299448,1.3500096551299998,2.01060734913,5.48088382041,3.92372973525,1.09861228867,0
PIVUS012_Aligned--06_immune_output,51,10,15,383,85,2,2,107,71,32,416,239,3,2,2.97015385953,1.11142393901,2.41147995552,5.9123511236,3.7066868390699996,0.636514168295,0.6931471805600001
PIVUS013_Aligned--06_immune_output,48,8,7,303,101,1,0,54,226,13,323,254,1,0,3.80927922197,0.24261325395999997,1.7782333058000002,5.683713846619999,3.73720266615,-0.0,0
PIVUS014_Aligned--06_immune_output,39,7,3,253,69,1,0,70,253,3,266,148,1,0,2.96853752131,0.268316881444,1.09861228867,5.511810884040001,3.62693857917,-0.0,0
PIVUS017_Aligned--06_immune_output,45,11,7,235,84,5,0,62,91,12,259,240,5,0,3.6535077217800005,1.2341907273000001,1.7917594692299998,5.405541798180001,3.8255019629199998,1.60943791243,0
PIVUS018_Aligned--06_immune_output,74,15,12,220,118,4,0,178,257,21,235,279,4,0,4.06857596202,1.64935473783,2.24361851374,5.358519751549999,4.08925429858,1.3862943611200003,0
PIVUS019_Aligned--06_immune_output,85,15,13,215,83,1,0,126,94,41,226,179,1,0,4.32256039612,1.7323430153900001,2.30317102778,5.33967438762,3.8655470187,-0.0,0
