"","sample","X07c_viral","X04_repeats","X02_rdna","X05_immune","X01_lowq","X05_circrna","X07b_bacteria","X06_immune","X07d_fungi","X07e_protozoa","X03_reference"
"1","PIVUS003",54449,37155,9101,0,0,0,0,826,1084,128,779424
"2","PIVUS004",74926,32842,14499,0,0,0,0,915,1011,157,752396
"3","PIVUS005",319533,24875,17421,0,0,0,0,773,6502,1253,1118025
"4","PIVUS006",461561,39639,7432,0,0,0,0,1007,2240,265,1328083
"5","PIVUS007",440240,43497,20407,0,0,0,0,783,8171,1288,1736345
"6","PIVUS008",841032,39272,41332,0,0,0,0,997,23234,4192,3375027
"7","PIVUS009",359050,34978,19897,0,0,0,0,763,3884,364,2100444
"8","PIVUS010",282702,34738,11159,0,0,0,0,860,2343,239,1513578
"9","PIVUS011",214409,51400,15563,0,0,0,0,1189,2762,272,1546885
"10","PIVUS012",397923,45639,27158,0,0,0,0,870,4819,695,2023332
"11","PIVUS013",162401,42513,41609,0,0,0,0,871,5819,922,1506774
"12","PIVUS014",153184,41422,8575,0,0,0,0,741,2489,282,1345878
"13","PIVUS017",110627,32970,18272,0,0,0,0,669,5393,864,1066799
"14","PIVUS018",84294,37703,10297,0,0,0,0,974,1839,263,971268
"15","PIVUS019",84176,28343,9519,0,0,0,0,666,1361,169,871854
"16","PIVUS020",89228,31814,15429,0,0,0,0,736,3987,702,936229
"17","PIVUS021",146056,26405,20750,0,0,0,0,413,5448,644,1224383
"18","PIVUS022",91395,19420,11098,0,0,0,0,646,6718,1368,848957
"19","PIVUS023",130764,28968,11226,0,0,0,0,1135,1724,155,974774
"20","PIVUS024",185961,33782,14983,0,0,0,0,901,4152,612,1339704
"21","PIVUS027",263579,27978,47471,0,0,0,0,1290,3340,450,1520287
"22","PIVUS028",502034,38484,16777,0,0,0,0,694,3008,351,1807349
"23","PIVUS029",521606,43594,22935,0,0,0,0,890,2973,328,1753897
"24","PIVUS030",1933011,57748,32788,0,0,0,0,2329,8436,545,4279593
"25","PIVUS031",547179,38752,14583,0,0,0,0,990,2497,193,1530534
"26","PIVUS032",437839,46949,13074,0,0,0,0,636,4387,306,1627666
"27","PIVUS033",227810,40101,10931,0,0,0,0,908,3294,193,1383007
"28","PIVUS034",90049,26779,5735,0,0,0,0,746,1526,158,484735
"29","PIVUS035",154962,29944,5421,0,0,0,0,1591,1667,148,671016
"30","PIVUS036",108677,16336,6020,0,0,0,0,827,3906,655,462527
"31","PIVUS037",135183,28750,7080,0,0,0,0,653,1531,147,677788
"32","PIVUS038",400327,30937,25586,0,0,0,0,624,4290,217,1851647
"33","PIVUS039",81806,28158,12224,0,0,0,0,1373,8031,1158,483369
"34","PIVUS041",273544,40948,8953,0,0,0,0,985,4410,464,1352190
"35","PIVUS042",240386,39013,6942,0,0,0,0,1106,3227,358,1078764
"36","PIVUS043",203143,33782,7979,0,0,0,0,640,3580,242,984727
"37","PIVUS044",736428,13758,6979,0,0,0,0,361,7225,625,1433513
"38","PIVUS045",107325,35300,6593,0,0,0,0,810,1999,163,610657
"39","PIVUS046",296477,29398,9724,0,0,0,0,849,3706,233,1305004
"40","PIVUS047",224619,37514,12319,0,0,0,0,1483,2872,296,997506
"41","PIVUS048",256010,22611,7842,0,0,0,0,1098,5736,902,790686
"42","PIVUS049",478004,42482,25001,0,0,0,0,795,5854,226,2227961
"43","PIVUS050",372811,31756,14784,0,0,0,0,837,5377,237,1678994
"44","PIVUS051",177393,29369,5268,0,0,0,0,498,2175,160,752892
"45","PIVUS052",226274,32172,5749,0,0,0,0,875,2454,178,1096683
"46","PIVUS053",306746,41839,14677,0,0,0,0,1362,3793,373,1675726
"47","PIVUS054",415464,48467,88355,0,0,0,0,410,3934,386,1935379
"48","PIVUS055",292226,27994,7402,0,0,0,0,568,2908,376,1074589
"49","PIVUS056",742927,20103,10450,0,0,0,0,588,6493,717,1705022
