"","Organism","Read Count"
"1","Human alphaherpesvirus 1",58173254
"2","Encephalomyocarditis virus",9503761
"3","Hepacivirus C",796685
"4","Bubaline alphaherpesvirus 1",2329958
"5","Human alphaherpesvirus 2",708901
"6","Chikungunya virus",78264
"7","Suid alphaherpesvirus 1",471736
"8","Bovine viral diarrhea virus 2",53695
"9","Foot-and-mouth disease virus - type Asia 1",182276
"10","Foot-and-mouth disease virus - type O",111162
"11","Bovine viral diarrhea virus 1",39304
"12","BeAn 58058 virus",16492
"13","Stealth virus 1",14394
"14","Human gammaherpesvirus 4",53752
"15","Foot-and-mouth disease virus - type A",35727
"16","Western equine encephalitis virus",11981
"17","Human betaherpesvirus 5",85955
"18","Venezuelan equine encephalitis virus",11208
"19","Mengo virus",177395
"20","Hepatitis C virus subtype 1b",9480
"21","Macacine alphaherpesvirus 1",118406
"22","Elephant endotheliotropic herpesvirus 1A",81982
"23","Lymphocryptovirus Macaca/pfe-lcl-E3",79413
"24","Foot-and-mouth disease virus O/ES/2001",61117
"25","Ferret hepatitis E virus",41415
