"","Organism","Read Count"
"1","Human alphaherpesvirus 1",38765805
"2","Encephalomyocarditis virus",4688543
"3","Hepacivirus C",1623607
"4","Bubaline alphaherpesvirus 1",1805624
"5","Human alphaherpesvirus 2",488806
"6","Chikungunya virus",32397
"7","Suid alphaherpesvirus 1",122403
"8","Bovine viral diarrhea virus 2",24788
"9","Foot-and-mouth disease virus - type Asia 1",171061
"10","Foot-and-mouth disease virus - type O",108285
"11","Macacine alphaherpesvirus 1",139737
"12","Mengo virus",118141
