"","Sample","Viral Read Count","ROP Mapped Read Count","Proportion"
"1","PIVUS003",54449,882167,0.0617218735228137
"2","PIVUS004",74926,876746,0.0854591865831153
"3","PIVUS005",319533,1488382,0.214684805379264
"4","PIVUS006",461561,1840227,0.250817426328382
"5","PIVUS007",440240,2250731,0.195598674386233
"6","PIVUS008",841032,4325086,0.194454399288245
"7","PIVUS009",359050,2519380,0.142515221999063
"8","PIVUS010",282702,1845619,0.153174625965597
"9","PIVUS011",214409,1832480,0.117004824063564
"10","PIVUS012",397923,2500436,0.159141445731864
"11","PIVUS013",162401,1760909,0.092225662995646
"12","PIVUS014",153184,1552571,0.0986647309527229
"13","PIVUS017",110627,1235594,0.0895334551640749
"14","PIVUS018",84294,1106638,0.0761712502191322
"15","PIVUS019",84176,996088,0.0845065897792163
"16","PIVUS020",89228,1078125,0.0827622028985507
"17","PIVUS021",146056,1424099,0.10256028548577
"18","PIVUS022",91395,979602,0.0932980945322692
"19","PIVUS023",130764,1148746,0.113831952407234
"20","PIVUS024",185961,1580095,0.117689759160051
"21","PIVUS027",263579,1864395,0.141375084142577
"22","PIVUS028",502034,2368697,0.211945217138368
"23","PIVUS029",521606,2346223,0.222317315958457
"24","PIVUS030",1933011,6314450,0.306124999010207
"25","PIVUS031",547179,2134728,0.256322585359821
"26","PIVUS032",437839,2130857,0.205475543408122
"27","PIVUS033",227810,1666244,0.136720672362511
"28","PIVUS034",90049,609728,0.147687165424583
"29","PIVUS035",154962,864749,0.179198819541855
"30","PIVUS036",108677,598948,0.181446469476482
"31","PIVUS037",135183,851132,0.158827302933035
"32","PIVUS038",400327,2313628,0.173029977161411
"33","PIVUS039",81806,616119,0.132776298085272
"34","PIVUS041",273544,1681494,0.16267914128745
"35","PIVUS042",240386,1369796,0.175490364988655
"36","PIVUS043",203143,1234093,0.164609150201808
"37","PIVUS044",736428,2198889,0.334909129110201
"38","PIVUS045",107325,762847,0.140690072845538
"39","PIVUS046",296477,1645391,0.180186350843052
"40","PIVUS047",224619,1276609,0.175949723055376
"41","PIVUS048",256010,1084885,0.235978928642206
"42","PIVUS049",478004,2780323,0.171923909560148
"43","PIVUS050",372811,2104796,0.17712452893297
"44","PIVUS051",177393,967755,0.183303625401057
"45","PIVUS052",226274,1364385,0.165843218739579
"46","PIVUS053",306746,2044516,0.150033553173465
"47","PIVUS054",415464,2492395,0.166692679129913
"48","PIVUS055",292226,1406063,0.207832792698478
"49","PIVUS056",742927,2486300,0.298808269315851
"50","PIVUS057",348059,1958598,0.177708238239802
"51","PIVUS058",146211,887386,0.164765953035094
"52","PIVUS059",747829,3904451,0.191532433112876
"53","PIVUS060",134791,654293,0.206010151415345
"54","PIVUS061",188634,1012142,0.186371082318489
"55","PIVUS062",141349,1055455,0.133922336812086
"56","PIVUS063",293915,1807129,0.162641958598418
"57","PIVUS064",627043,3321001,0.188811445705677
"58","PIVUS065",285911,1629252,0.175486051267698
"59","PIVUS066",656054,3164909,0.207290004230769
"60","PIVUS067",456996,3107998,0.147038704658111
"61","PIVUS068",1553014,7691220,0.201920371540536
"62","PIVUS069",232748,863876,0.269422926438517
"63","PIVUS070",258295,1042035,0.247875551205094
"64","PIVUS071",301490,1030574,0.292545707537741
"65","PIVUS072",434099,1427325,0.304134657488659
"66","PIVUS073",127118,747942,0.169957028753566
"67","PIVUS074",404406,1216981,0.332302640715015
"68","PIVUS075",339681,1089046,0.311906935060594
"69","PIVUS076",521956,1325983,0.393637022495764
"70","PIVUS077",164204,634873,0.258640704518857
"71","PIVUS078",237763,786641,0.302250963272954
"72","PIVUS079",116708,762297,0.153100431983859
"73","PIVUS080",249137,937634,0.265708154781077
"74","PIVUS081",155710,646909,0.240698459907035
"75","PIVUS082",211548,700519,0.301987526391147
"76","PIVUS085",95718,858925,0.111439299123905
"77","PIVUS086",81323,547651,0.148494205251154
"78","PIVUS087",95862,720870,0.132980981314245
"79","PIVUS088",104748,750122,0.139641285017637
"80","PIVUS089",110832,548369,0.202112081463394
"81","PIVUS090",155261,829596,0.187152541719102
"82","PIVUS091",83304,601942,0.138392070996873
"83","PIVUS092",265564,1253367,0.211880478742459
"84","PIVUS093",85303,356511,0.239271719526186
"85","PIVUS094",85698,407414,0.210346232579146
"86","PIVUS095",146554,424419,0.345304993414527
"87","PIVUS096",101533,445743,0.227783722907595
"88","PIVUS097",91981,414344,0.221991871488425
"89","PIVUS098",138736,400900,0.346061361935645
"90","PIVUS099",136759,656963,0.208168496551556
"91","PIVUS100",289806,680775,0.425700121185414
"92","PIVUS101",130019,419359,0.310042231119399
"93","PIVUS102",105345,434001,0.242729855461163
"94","PIVUS103",39582,243755,0.162384361346434
"95","PIVUS104",68914,328330,0.209892486218134
"96","PIVUS105",74751,370818,0.201584065498439
"97","PIVUS106",97366,407910,0.238694810129685
"98","PIVUS107",87366,391213,0.223320799666678
"99","PIVUS108",244053,655315,0.372420896820613
"100","PIVUS109",68826,368709,0.186667534559775
"101","PIVUS110",93512,414782,0.225448548876277
"102","PIVUS111",106867,423802,0.252162566481517
"103","PIVUS112",49785,304917,0.16327394012141
"104","PIVUS113",87850,371311,0.236594121908589
"105","PIVUS114",89533,443443,0.201904190617509
"106","PIVUS115",68006,336017,0.202388569625942
"107","PIVUS116",150762,491214,0.306917148126886
"108","PIVUS117",322919,2309414,0.139827246219171
"109","PIVUS118",175768,1532425,0.114699251186844
"110","PIVUS119",167552,1394616,0.120142031928502
"111","PIVUS120",173089,1165239,0.148543775139692
"112","PIVUS121",109524,791551,0.138366321310945
"113","PIVUS122",126063,1035926,0.121691124655622
"114","PIVUS123",288416,1530917,0.188394276110331
"115","PIVUS124",200024,1437600,0.139137451307735
"116","PIVUS125",266937,1888045,0.141382753059382
"117","PIVUS126",243060,1970750,0.123333756184194
"118","PIVUS127",265028,1938045,0.136750178659422
"119","PIVUS128",311146,1883331,0.165210470172264
"120","PIVUS129",369287,2697556,0.136896879990629
"121","PIVUS130",308266,2144885,0.14372145826
"122","PIVUS131",408660,2886274,0.141587389139077
"123","PIVUS132",514206,3307034,0.155488573749166
"124","PIVUS133",176994,1327715,0.133307223312232
"125","PIVUS134",237882,1682475,0.141388133553247
"126","PIVUS135",173815,1307540,0.132932835706747
"127","PIVUS136",202882,1574812,0.128829345979076
"128","PIVUS137",113414,981175,0.115589981399852
"129","PIVUS138",218393,1443638,0.151279614418573
